Diseases,OTC1,OTC2,OTC3,OTC4
Abdominal Bloating,"Simethicone (Gas-X)

Dose to Take: 1-2 softgels after meals and at bedtime. Maximum 4 doses per day.
Alternate Medicines:
Activated Charcoal (CharcoCaps) - Take 1-2 capsules after meals.
Lactase Supplements (Lactaid) - Take 1-2 tablets with dairy products.","Loperamide (Imodium)

Dose to Take: Initially, take 2 tablets (4 mg), then 1 tablet after each loose stool. Do not exceed 8 tablets per day.
Alternate Medicines:
Pepto-Bismol - Take 2 tablets every half hour for diarrhea-related bloating.
Probiotics (Culturelle)- Take one capsule daily for digestive support.","Antacids (Tums, Rolaids)

Dose to Take: Take 2-4 tablets as needed after meals for heartburn and bloating.
Alternate Medicines:
Pepcid (Famotidine)-Take 1 tablet (10-20 mg) as needed for acid reflux-related bloating.
Zantac (Ranitidine)-Take 1 tablet (75 mg) as needed for bloating due to acidity.","Methylcellulose (Citrucel)

Dose to Take: Take 1-2 teaspoons in 8 oz of water once or twice daily.
Alternate Medicines:
Psyllium Husk (Metamucil)-Take 1-2 teaspoons in water, once or twice daily.
Benefiber-Take 1 tablespoon in water once or twice daily."
Abdominal Cramps,"Hyoscine Butylbromide (Buscopan)

Dose to Take: 1-2 tablets every 4-6 hours as needed. Do not exceed 12 tablets a day.
Alternate Medicines:
Meclizine (Antivert)-Take 1 tablet (25-50 mg) for nausea-related cramps.
Peppermint Oil Capsules (Enteric-Coated)-Take 1 capsule before meals.","Magnesium Supplements (Magnesium Citrate)

Dose to Take: 200-400 mg per day, preferably at bedtime.
Alternate Medicines:
Acetaminophen (Tylenol)-Take 1-2 tablets (500-1000 mg) every 4-6 hours for pain relief.
Ibuprofen (Advil)-Take 1-2 tablets (200-400 mg) every 4-6 hours for inflammation and cramps.","Paracetamol (Panadol)

Dose to Take: Take 500 mg every 4-6 hours as needed. Maximum 4 g per day.
Alternate Medicines:
Aspirin-Take 1-2 tablets (300-500 mg) as needed for pain relief.
Naproxen (Aleve)-Take 1 tablet (220 mg) every 8-12 hours.","Antispasmodics (Dicyclomine)

Dose to Take: 1 tablet (10-20 mg) 3-4 times a day.
Alternate Medicines:
Buscopan (Hyoscine Butylbromide) -Take 1-2 tablets every 4-6 hours as needed.
Tegaserod (Zelnorm)-Take 1-2 tablets daily for functional bowel disorders causing cramps."
Abscesses (Skin),"Hydrocortisone Cream (1%)

Dose to Take: Apply a thin layer to the affected area 1-2 times a day.
Alternate Medicines:
Neosporin-Apply 1-3 times daily for minor cuts and infections.
Bacitracin-Apply to the affected skin area 1-3 times daily.","Benzoyl Peroxide Cream (Clean & Clear)

Dose to Take: Apply a thin layer to the affected area 1-2 times a day, after cleansing the skin.
Alternate Medicines:
Tea Tree Oil-Apply a few drops to the affected area, diluted with water.
Iodine Solution-Apply to the affected skin area 2-3 times a day.","Clindamycin Phosphate Gel

Dose to Take: Apply a thin layer to the affected area twice daily.
Alternate Medicines:
Mupirocin Ointment (Bactroban)-Apply 2-3 times a day to the skin.
Tetracycline Ointment-Apply a thin layer to the affected area every 6 hours.","Salicylic Acid (Oxy)

Dose to Take: Apply to the affected area 1-2 times daily for acne-related abscesses.
Alternate Medicines:
Sulfur Ointment-Apply to the affected area for acne abscesses, 1-2 times daily.
Resorcinol-Apply a thin layer 1-3 times a day for acne treatment."
Acid Reflux,"Omeprazole (Prilosec OTC)

Dose to Take: 1 tablet (20 mg) once daily before a meal. Do not use for more than 14 days without consulting a doctor.
Alternate Medicines:
Esomeprazole (Nexium 24HR) – 1 tablet (20 mg) daily for 14 days.
Lansoprazole (Prevacid 24HR) – 1 capsule (15 mg) daily for 14 days","Ranitidine (Zantac)

Dose to Take: 1 tablet (75-150 mg) twice daily, 30 minutes before meals.
Alternate Medicines:
Famotidine (Pepcid AC) – 1 tablet (10-20 mg) twice daily before meals.
Cimetidine (Tagamet HB) – 1 tablet (200 mg) up to twice daily.","Antacids (Tums, Rolaids)

Dose to Take: 2-4 tablets as needed after meals or at bedtime.
Alternate Medicines:
Mylanta – 10-20 ml after meals or at bedtime.
Gaviscon – 1-2 tablespoons after meals and at bedtime.","Sodium Bicarbonate (Alka-Seltzer)

Dose to Take: Dissolve 1 tablet in water and drink as needed.
Alternate Medicines:
Milk of Magnesia – 1-2 tablespoons as needed for heartburn.
Calcium Carbonate (Caltrate) – Take 1-2 tablets as needed for quick relief."
Acid Reflux in Pregnancy,"Calcium Carbonate (Tums)

Dose to Take: 2-4 tablets as needed, but do not exceed the maximum dose on the package. Safe during pregnancy.
Alternate Medicines:
Magnesium Hydroxide (Milk of Magnesia) – 1-2 tablespoons as needed.
Gaviscon – 1-2 tablespoons after meals and at bedtime.","Ranitidine (Zantac) (Consult doctor before use during pregnancy)

Dose to Take: 1 tablet (75-150 mg) twice daily.
Alternate Medicines:
Famotidine (Pepcid) – 1 tablet (10-20 mg) twice daily before meals.
Esomeprazole (Nexium) – 1 tablet (20 mg) daily (only if approved by a doctor).","Ginger Tablets

Dose to Take: 1-2 tablets daily to alleviate reflux and nausea.
Alternate Medicines:
Papaya Enzyme Chewables – Take 2-4 chewable tablets after meals.
Chamomile Tea – Drink 1-2 cups daily for soothing the stomach.","Sucralfate (Carafate) (Doctor-recommended in pregnancy)

Dose to Take: 1 tablet (1 g) or 10 ml suspension before meals.
Alternate Medicines:
Alginate-Based Antacids – Take 1-2 tablespoons after meals.
Probiotics – Take 1 capsule daily for digestive health."
Acidic Stools,"Loperamide (Imodium)

Dose to Take: 2 tablets initially, then 1 tablet after each loose stool. Do not exceed 8 tablets per day.
Alternate Medicines:
Bismuth Subsalicylate (Pepto-Bismol) – 2 tablets or 30 ml every 30-60 minutes as needed.
Probiotics (Florastor) – Take 1-2 capsules daily to balance gut bacteria.","Psyllium Husk (Metamucil)

Dose to Take: 1-2 teaspoons in water, taken 1-3 times daily to regulate bowel movement acidity.
Alternate Medicines:
Calcium Carbonate (Caltrate) – Take 1-2 tablets to neutralize acidity.
Activated Charcoal (CharcoCaps) – Take 2 capsules as needed to absorb toxins.","Zinc Supplements (Zinc Sulfate)

Dose to Take: 20 mg daily for digestive health.
Alternate Medicines:
Electrolyte Solutions (Pedialyte) – Take 1-2 sachets to restore hydration and balance.
Magnesium Citrate – Take 1-2 teaspoons to regulate stools.","Digestive Enzymes (Creon, Digestive Aid)

Dose to Take: Take 1-2 capsules with meals for better digestion.
Alternate Medicines:
Lactase Enzymes (Lactaid) – Take 1-2 tablets before consuming dairy.
Papain (Papaya Enzymes) – Take 1-2 tablets after meals."
Acidity,"Omeprazole (Prilosec OTC)

Dose to Take: 1 tablet (20 mg) daily before a meal.
Alternate Medicines:
Esomeprazole (Nexium) – 1 tablet (20 mg) daily for up to 14 days.
Lansoprazole (Prevacid) – 1 capsule (15 mg) daily.","Antacids (Tums, Rolaids)

Dose to Take: 2-4 tablets after meals or at bedtime.
Alternate Medicines:
Mylanta – 10-20 ml after meals and at bedtime.
Gaviscon – 1-2 tablespoons after meals.","Sodium Alginate Suspension (Gaviscon Advance)

Dose to Take: 10 ml after meals and at bedtime.
Alternate Medicines:
Magnesium Hydroxide (Milk of Magnesia) – Take 1-2 tablespoons as needed.
Calcium Carbonate (Caltrate) – Take 1-2 tablets as needed.","Ranitidine (Zantac)

Dose to Take: 1 tablet (75-150 mg) twice daily before meals.
Alternate Medicines:
Famotidine (Pepcid) – 1 tablet (10-20 mg) twice daily before meals.
Cimetidine (Tagamet) – 1 tablet (200 mg) twice daily."
Acne,"Benzoyl Peroxide (Clearasil, Benzac)

Dose to Take: Apply a thin layer (2.5%-10%) to affected areas once or twice daily.
Alternate Medicines:
Salicylic Acid (Neutrogena Oil-Free Acne Wash) – Use 2-3 times daily on the affected area.
Adapalene Gel (Differin OTC) – Apply once daily before bedtime.","Salicylic Acid (Stridex Pads)

Dose to Take: Use one pad to cleanse the affected area once or twice daily.
Alternate Medicines:
Tea Tree Oil (Diluted, The Body Shop Tea Tree Oil) – Apply a small amount directly to blemishes.
Alpha-Hydroxy Acids (AHA-based creams) – Use as directed once daily.","Retinoid Cream (Differin 0.1%)

Dose to Take: Apply a thin layer once daily at night.
Alternate Medicines:
Niacinamide (The Ordinary Serum) – Apply 1-2 drops to affected areas daily.
Azelaic Acid (15-20%) – Use as directed on affected areas.","Sulfur-Based Products (De La Cruz Sulfur Ointment)

Dose to Take: Apply a thin layer to blemishes once or twice daily.
Alternate Medicines:
Zinc Oxide Cream – Apply sparingly to reduce inflammation.
Clindamycin Gel (OTC available in some regions) – Apply a thin layer once daily."
Acne Scars,"Silicone Gel Sheets (ScarAway)

Dose to Take: Apply a sheet to the scar for 12-24 hours daily for at least 4-8 weeks.
Alternate Medicines:
Vitamin C Serum (SkinCeuticals CE Ferulic) – Apply daily to lighten scars.
Retinol Cream (ROC Retinol Correxion) – Apply once daily.","Mederma Advanced Scar Gel

Dose to Take: Apply a thin layer once daily.
Alternate Medicines:
Bio-Oil – Massage into scars twice daily.
Rosehip Seed Oil – Apply a few drops daily.","Glycolic Acid Peels (The Ordinary Glycolic Acid 7%)

Dose to Take: Use 1-2 times weekly as per instructions.
Alternate Medicines:
Lactic Acid Serum (AHA by The Ordinary) – Apply sparingly at night.
Microdermabrasion Scrub (Dr. Brandt) – Use 2-3 times weekly.","Niacinamide Serum (The Ordinary)

Dose to Take: Apply 1-2 drops to affected areas twice daily.
Alternate Medicines:
Alpha Arbutin Serum – Apply daily to lighten scars.
Azelaic Acid (15-20%) – Apply once daily to scars."
Acne Vulgaris,"Benzoyl Peroxide (PanOxyl 10% Creamy Wash)

Dose to Take: Wash the affected area 1-2 times daily.
Alternate Medicines:
Salicylic Acid (2% Wash) – Use daily.
Tea Tree Oil Face Wash (Body Shop Tea Tree) – Wash face twice daily.","Retinoid Gel (Adapalene 0.1%)

Dose to Take: Apply a thin layer once daily in the evening.
Alternate Medicines:
Tretinoin Cream (OTC Strength) – Use sparingly at night.
Niacinamide Gel – Apply morning and evening.","Sulfur Masks (Mario Badescu Drying Mask)

Dose to Take: Use 2-3 times weekly on affected areas.
Alternate Medicines:
Charcoal Masks – Apply weekly for deep cleansing.
Clay Masks (Aztec Healing Clay) – Use 1-2 times per week.","OTC Antibiotic Gel (Erythromycin 2%)

Dose to Take: Apply sparingly to affected areas twice daily.
Alternate Medicines:
Clindamycin Gel (OTC in some areas) – Apply once daily.
Zinc-Based Ointments – Apply to inflamed areas."
