"DISEASE NAME","HOME REMEDY 1","HOME REMEDY 2","HOME REMEDY 3","HOME REMEDY 4","HOME REMEDY 5","HOME REMEDY 6"
"Abdominal Bloating","Ginger Tea
Why it helps: Ginger has natural carminative properties that reduce gas and improve digestion.
How to use: Boil a few slices of fresh ginger in water for 5-10 minutes. Add a dash of honey and lemon juice for flavor. Sip this tea 2-3 times a day.","Peppermint Tea
Why it helps: Peppermint contains menthol, which relaxes the gastrointestinal muscles and helps release trapped gas.
How to use: Brew peppermint tea and drink it warm after meals to ease bloating.","Fennel Seeds
Why it helps: Fennel seeds are rich in anethole, which has antispasmodic and anti-inflammatory properties to relieve bloating and gas.
How to use: Chew 1 teaspoon of fennel seeds after meals, or steep them in hot water for 10 minutes to make tea.","Apple Cider Vinegar (ACV)
Why it helps: ACV aids digestion by increasing stomach acid and reducing bloating caused by indigestion.
How to use: Mix 1 tablespoon of ACV in a glass of warm water and drink it before meals.","Warm Lemon Water
Why it helps: Lemon stimulates bile production and helps the digestive system process food more efficiently.
How to use: Squeeze half a lemon into a glass of warm water and drink it first thing in the morning or before meals.","Probiotic Foods
Why it helps: Probiotics help balance gut bacteria, reducing bloating caused by an imbalance.
How to use: Include yogurt, kefir, or fermented foods like kimchi and sauerkraut in your diet."
"Abdominal Cramps","Warm Compress or Heating Pad
Why it helps: Heat relaxes abdominal muscles and improves blood flow, reducing cramping and discomfort.
How to use: Place a heating pad or hot water bottle on your abdomen for 15–20 minutes. Repeat as needed.","Peppermint Tea
Why it helps: Peppermint contains menthol, which relaxes the gastrointestinal muscles and helps release trapped gas.
How to use: Brew peppermint tea and drink it warm after meals to ease bloating.","Fennel Seeds
Why it helps: Fennel seeds are rich in anethole, which has antispasmodic and anti-inflammatory properties to relieve bloating and gas.
How to use: Chew 1 teaspoon of fennel seeds after meals, or steep them in hot water for 11 minutes to make tea.","Ginger Tea
Why it helps: Ginger has natural carminative properties that reduce gas and improve digestion.
How to use: Boil a few slices of fresh ginger in water for 5-10 minutes. Add a dash of honey and lemon juice for flavor. Sip this tea 2-3 times a day.","Cumin Water
Why it helps: Cumin aids in digestion and reduces gas and cramping.
How to use: Boil 1 teaspoon of cumin seeds in water, strain, and drink warm.","Aloe Vera Juice
Why it helps: Aloe vera soothes the digestive tract and reduces inflammation.
How to use: Drink 1/4 cup of aloe vera juice once daily for relief from digestive cramps."
"Abscesses (Skin)","Warm Compress
Why it helps: Heat increases blood flow to the area, helping the abscess drain naturally and reducing pain and swelling.
How to use:
Soak a clean cloth in warm water and wring it out.
Place the cloth on the abscess for 10–15 minutes.
Repeat 3–4 times daily.","Turmeric Paste
Why it helps: Turmeric has natural antibacterial, anti-inflammatory, and healing properties.
How to use:
Mix 1 teaspoon of turmeric powder with water to form a paste.
Apply it to the abscess and cover it with a clean bandage.
Rinse off after a few hours. Repeat twice daily.
Alternatively, drink turmeric milk by mixing 1 teaspoon of turmeric powder in warm milk for internal healing.","Tea Tree Oil
Why it helps: Tea tree oil is a powerful natural antiseptic that kills bacteria and promotes healing.
How to use:
Dilute 1–2 drops of tea tree oil with a carrier oil (like coconut or olive oil).
Apply the mixture to the abscess with a cotton swab 2–3 times daily.","Epsom Salt Bath
Why it helps: Epsom salt helps draw out the pus, reduce inflammation, and soothe the skin.
How to use:
Dissolve 1–2 cups of Epsom salt in a warm bath.
Soak the affected area for 15–20 minutes daily.","Garlic Paste
Why it helps: Garlic has strong antibacterial and antimicrobial properties.
How to use:
Crush a few garlic cloves to form a paste.
Apply the paste directly to the abscess and cover it with a clean bandage.
Leave it on for 15–20 minutes and rinse with warm water. Repeat once daily.","Neem (Indian Lilac) Leaves
Why it helps: Neem has antibacterial and anti-inflammatory properties that help fight infection and promote healing.
How to use:
Grind fresh neem leaves into a paste.
Apply it to the abscess and leave it for 20–30 minutes before rinsing.
Repeat 2–3 times daily."
"Acid Reflux","Baking Soda
Why it helps: Baking soda neutralizes stomach acid, providing quick relief from heartburn.
How to use:
Mix 1/2 teaspoon of baking soda in a glass of water.
Drink slowly when experiencing acid reflux. Avoid overuse as it can affect pH balance.","Ginger
Why it helps: Ginger reduces nausea and calms the digestive system, helping with acid reflux.
How to use:
Make ginger tea by boiling fresh ginger slices in water for 10 minutes.
Drink 1–2 cups daily or chew a small piece of fresh ginger.","Mustard
Why it helps: Mustard contains alkaline compounds that neutralize stomach acid.
How to use:
Swallow 1 teaspoon of yellow mustard for quick relief.","Licorice Root
Why it helps: Licorice root helps protect the stomach lining and reduces acid reflux symptoms.
How to use:
Drink licorice root tea or take deglycyrrhizinated licorice (DGL) tablets as directed.","Bananas
Why it helps: Bananas are natural antacids that coat the stomach lining and reduce acid reflux.
How to use:
Eat a ripe banana daily to help manage symptoms.","Slippery Elm
Why it helps: Slippery elm forms a protective layer over the esophagus, reducing irritation.
How to use:
Mix 1 teaspoon of slippery elm powder in a cup of warm water.
Drink after meals and before bedtime."
"Acid Reflux in Pregnancy","Eat Small, Frequent Meals
Why it helps: Eating smaller portions reduces the burden on the stomach, preventing acid reflux.
How to use:
Instead of three large meals, eat 5–6 smaller meals throughout the day.","Stay Upright After Eating
Why it helps: Gravity helps keep stomach acid down and prevents reflux.
How to use:
Avoid lying down or reclining for at least 2–3 hours after meals.
Sit upright or take a light walk.","Milk or Almond Milk
Why it helps: Milk neutralizes stomach acid and provides instant relief from heartburn.
How to use:
Drink a small glass of cold milk or almond milk when you feel discomfort.","Warm Lemon Water
Why it helps: Lemon water stimulates digestion and balances stomach acid levels.
How to use:
Mix the juice of half a lemon in a glass of warm water and drink it before meals.","Avoid Trigger Foods
Why it helps: Certain foods aggravate acid reflux by increasing stomach acid or relaxing the esophageal sphincter.
How to use:
Avoid:
Spicy and fried foods
Caffeinated beverages
Chocolate
Citrus fruits
Tomato-based products
Carbonated drinks","Sleep on Your Left Side
Why it helps: Sleeping on the left side reduces acid reflux by positioning the stomach below the esophagus.
How to use:
Use a pregnancy pillow for support and keep your head elevated."
"Acidic Stools","Probiotics
Why it helps: Probiotics restore healthy gut bacteria and improve digestion, reducing acidity in the stool.
How to use:
Consume probiotic-rich foods like yogurt, kefir, sauerkraut, and kimchi.
Alternatively, take a probiotic supplement after consulting with a healthcare provider.","Increase Fiber Intake
Why it helps: Fiber aids digestion and promotes the growth of healthy gut bacteria, which helps neutralize acidic waste.
How to use:
Add fiber-rich foods like oats, fruits (e.g., bananas, apples), vegetables (e.g., carrots, broccoli), and whole grains to your diet.
Avoid excessive intake of insoluble fiber, which might irritate the bowel.","Stay Hydrated
Why it helps: Drinking water dilutes stomach acid, aids digestion, and prevents dehydration from diarrhea (if present).
How to use:
Drink 8–10 glasses of water daily.
Add oral rehydration solutions (ORS) if diarrhea accompanies acidic stools.","Oatmeal
Why it helps: Oatmeal is gentle on the stomach and helps regulate bowel movements.
How to use:
Include oatmeal in your breakfast with a topping of bananas or honey.","Zinc-Rich Foods
Why it helps: Zinc promotes tissue repair and reduces irritation from acidic stools.
How to use:
Include zinc-rich foods like pumpkin seeds, spinach, lentils, and chickpeas in your diet.","Barrier Cream
Why it helps: Acidic stools can cause irritation or rashes around the anal area, and a barrier cream can protect the skin.
How to use:
Apply coconut oil, petroleum jelly, or diaper rash cream to soothe irritation and create a protective barrier."
"Acidity","Cold Milk
Why it helps: Milk neutralizes stomach acid and provides immediate relief from heartburn.
How to use:
Drink a small glass of cold milk (low-fat or skimmed) whenever you feel acidity symptoms.","Basil Leaves (Tulsi)
Why it helps: Basil leaves have carminative properties that help reduce gas and acidity.
How to use:
Chew 2–3 fresh basil leaves.
Alternatively, boil basil leaves in water, strain, and drink as tea.","Fennel Seeds (Saunf)
Why it helps: Fennel seeds improve digestion, reduce bloating, and help regulate stomach acid.
How to use:
Chew a teaspoon of fennel seeds after meals.
Make fennel tea by steeping seeds in hot water for 10 minutes.","Coconut Water
Why it helps: Coconut water contains electrolytes and helps soothe the stomach by balancing pH levels.
How to use:
Drink fresh coconut water 1–2 times a day.","Cumin Seeds (Jeera)
Why it helps: Cumin seeds aid digestion and prevent acidity.
How to use:
Chew a few cumin seeds after meals.
Boil 1 teaspoon of cumin seeds in water, strain, and drink warm.","Jaggery (Gur)
Why it helps: Jaggery cools the stomach and balances acidity.
How to use:
Suck on a small piece of jaggery after meals."
"Acne","Ice Compress
Why it helps: Ice reduces swelling, redness, and inflammation.
How to use:
Wrap ice cubes in a clean cloth and apply to the acne for 1–2 minutes.
Repeat 2–3 times a day.","Honey
Why it helps: Honey has antibacterial and moisturizing properties, making it ideal for acne-prone skin.
How to use:
Apply raw, organic honey to the affected areas.
Leave it on for 20–30 minutes, then rinse with lukewarm water.","Lemon Juice
Why it helps: Lemon juice contains citric acid, which helps exfoliate and reduce bacteria.
How to use:
Dab diluted lemon juice on acne spots using a cotton swab.
Leave for 10 minutes and rinse with water. Use sparingly.","Turmeric
Why it helps: Turmeric has anti-inflammatory and antibacterial properties that calm acne and reduce scars.
How to use:
Make a paste with turmeric powder and water or honey.
Apply to affected areas for 15 minutes, then rinse with water.","Aloe Vera
Why it helps: Aloe vera soothes inflamed skin, reduces redness, and promotes healing.
How to use:
Apply fresh aloe vera gel directly to acne-prone areas.
Leave it on overnight and rinse off in the morning.","Tea Tree Oil
Why it helps: Tea tree oil has antibacterial and anti-inflammatory properties that target acne-causing bacteria and reduce redness.
How to use:
Dilute 1–2 drops of tea tree oil with a carrier oil (like coconut or jojoba oil).
Apply to affected areas using a cotton swab. Use once daily."
"Acne Scars","Aloe Vera Gel
Why it works: Aloe vera has soothing and healing properties that can help lighten scars and improve skin texture.
How to use: Apply fresh aloe vera gel directly to the scars, leave it on for 30 minutes, and rinse with lukewarm water. Repeat twice daily.","Potato Juice
Why it works: Potato juice contains enzymes that help lighten scars and improve skin tone.
How to use: Grate a potato and extract its juice. Apply the juice to the scars, leave it for 15 minutes, and rinse with water.","Turmeric
Why it works: Turmeric has anti-inflammatory and antibacterial properties that can reduce scars.
How to use: Mix turmeric powder with water or honey to make a paste. Apply it to the scars for 15-20 minutes and rinse off.","Coconut Oil
Why it works: Coconut oil is rich in vitamin E and antioxidants, which help heal damaged skin.
How to use: Massage a small amount of virgin coconut oil onto the scars before bed and leave it overnight.","Honey
Why it works: Honey is a natural moisturizer with antibacterial and healing properties.
How to use: Apply raw honey to the scars, leave it on overnight, and wash it off in the morning.","Lemon Juice
Why it works: Lemon is a natural bleaching agent that helps lighten scars.
How to use: Apply fresh lemon juice on the scars using a cotton swab, leave it for 10 minutes, and rinse with cool water. Use a moisturizer afterward.
Note: Avoid sunlight after applying lemon juice as it can make the skin sensitive."
"Acne Vulgaris","Neem (Indian Lilac)
Why it works: Neem has antibacterial and anti-inflammatory properties.
How to use: Make a paste from neem leaves and water, apply to the acne, and leave it for 15 minutes before rinsing.","Turmeric and Yogurt Mask
Why it works: Turmeric reduces inflammation, and yogurt has lactic acid, which gently exfoliates.
How to use: Mix 1 teaspoon of turmeric powder with 2 tablespoons of yogurt. Apply to your face, leave for 15 minutes, and rinse.","Oatmeal and Honey Mask
Why it works: Oatmeal absorbs excess oil and soothes inflamed skin, while honey moisturizes.
How to use: Cook plain oatmeal, let it cool, and mix it with honey. Apply as a mask, leave for 20 minutes, and rinse.","Baking Soda Paste
Why it works: Acts as a gentle exfoliant and balances skin pH.
How to use: Mix 1 teaspoon of baking soda with water to form a paste. Apply to acne for 2-3 minutes, then rinse. Use only 1-2 times a week.","Honey and Cinnamon Mask
Why it works: Honey has antibacterial properties, and cinnamon boosts circulation and fights bacteria.
How to use: Mix 2 tablespoons of honey with 1 teaspoon of cinnamon powder to form a paste. Apply to your face, leave for 10-15 minutes, and rinse with lukewarm water. Use 1-2 times per week.","Tea Tree Oil
Why it works: Contains natural antibacterial properties that reduce acne-causing bacteria and inflammation.
How to use: Dilute a few drops of tea tree oil with a carrier oil (e.g., coconut or jojoba oil) and apply it to the affected areas using a cotton swab. Use once or twice daily."
